GeneSymbol	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	T_cell	Endothelial
ABHD2	NA	809.978111801206	1	1	800.835515928323	NA	1
ABHD3	1	955.628433067102	1	NA	1045.80922964607	NA	1
ABHD4	0	NA	0	NA	NA	20201.2476828466	NA
ABHD5	NA	NA	NA	10511.9671044209	945.290038377561	41900.7763840919	NA
ABHD6	0	1784.33952854137	8136.33464854048	5173.68108940686	1100.52160240477	NA	NA
ABHD8	NA	111.029486981577	NA	261.913404267803	118.149505616678	0	NA
ABI1	0	NA	NA	NA	3167.62489203417	NA	0
ABI2	NA	1535.70523989878	2052.0481915394	NA	1115.332846648	NA	NA
ABI3	NA	300.811951468972	1	1	237.636709193267	NA	1
ABI3BP	NA	2687.23539387918	1	NA	5360.96218257145	NA	1
ABL1	NA	NA	NA	NA	2370.03846430033	NA	0
ABL2	0	669.401185984287	NA	NA	428.746317296087	4840.97059762764	NA
ABLIM1	0	17166.1758012008	NA	0	7254.79608027118	NA	NA
ABLIM2	NA	613.58493453424	NA	0	NA	NA	NA
ABLIM3	0	746.671380796718	NA	NA	NA	NA	NA
ABO	0	NA	NA	NA	208.602139866753	NA	NA
ABR	1	1	NA	NA	2616.41958666705	NA	1
ABRA	NA	NA	NA	NA	NA	0	2126.039758442
ABRACL	0	1249.75799962418	NA	4011.99262785851	1506.85232747845	0	NA
ABT1	1	658.041559137995	1	1	604.62357671284	NA	NA
ABTB1	NA	NA	NA	NA	616.233488569934	NA	0
ABTB2	0	702.768341201978	NA	0	NA	NA	NA
AC000111.3	NA	NA	NA	0	NA	0	NA
AC002059.10	0	NA	963.02784308109	NA	209.063283692654	0	NA
AC002064.5	NA	NA	NA	NA	NA	255.949685889927	NA
AC003973.4	NA	NA	NA	179.25016102369	NA	0	0
AC003989.4	NA	NA	203.698077048494	NA	37.4999486997353	364.458335629687	NA
AC004692.5	NA	1248.02508219987	1984.11964069016	1	684.804380988776	NA	1
AC004941.5	NA	254.685113949875	NA	1	316.093931523872	1	1
AC005162.4	NA	22.8490642872414	0	0	16.8476187805673	NA	0
AC005224.2	0	114.750598321597	233.711489763629	NA	80.8039611366359	NA	NA
AC005256.1	NA	10.5079336020523	1	1	8.46665804716914	1	1
AC005306.3	NA	241.874376784184	NA	0	110.777530464127	NA	0
AC005498.3	1	5.42320207925089	1	1	6.70348968031133	1	1
AC005523.2	NA	443.434733935468	NA	0	NA	NA	NA
AC005523.3	NA	NA	NA	NA	NA	NA	NA
AC005537.2	0	NA	NA	NA	0	747.680185808548	0
AC005592.3	NA	48.1074557003291	0	41.9276806861726	24.2630128339241	NA	NA
AC005606.14	0	NA	NA	75.2722823116228	23.4224424949294	NA	0
AC005785.2	NA	229.949542907039	NA	0	NA	853.302496641331	0
AC005838.2	0	NA	290.297831809683	NA	NA	0	NA
AC006026.13	NA	NA	NA	1040.29734185747	203.461411198078	NA	NA
AC006129.2	NA	NA	11.7427537821039	NA	NA	34.1731316643071	0
AC006538.1	NA	NA	NA	NA	NA	NA	NA
AC007292.3	0	283.979244875241	NA	NA	NA	2790.44226657822	NA
AC007349.5	NA	7.24679254978651	7.22111448717186	0	1.930533042358	39.6317458558921	0
AC007362.3	0	NA	0	37.8268765785854	NA	0	NA
AC007365.3	NA	NA	NA	NA	84.1045557813883	NA	0
AC007389.3	NA	120.65425397389	97.6272193541946	0	86.8620076309716	0	NA
AC007401.2	0	NA	918.811307968718	707.05253408099	NA	NA	NA
AC007680.2	NA	18.7117948578727	NA	0	NA	NA	873.389525146372
AC007787.2	NA	NA	NA	NA	11.0850443432913	NA	0
AC008088.4	0	61.541593765333	NA	221.690406678218	35.7118198569924	NA	NA
AC008746.12	NA	NA	NA	602.228401371926	123.650524873726	0	0
AC008753.4	NA	NA	155.116886316804	182.75248832647	88.5651781839324	NA	NA
AC009120.6	0	588.513543574938	NA	NA	337.645285338121	0	NA
AC009133.15	1	66.5425506510022	1	1	79.1093485830562	1	NA
AC009502.4	0	279.277788855878	NA	0	NA	NA	NA
AC010145.4	0	0	NA	NA	13.5745613999421	181.345519557708	0
AC010524.4	NA	NA	NA	1055.92220202726	205.217853674496	NA	NA
AC012065.7	NA	334.393857684836	NA	888.570150042334	201.737677138897	NA	NA
AC012360.6	NA	84.7532869745815	173.678957304711	207.436491489647	68.7693021002996	NA	0
AC012499.1	NA	NA	231.881541017379	NA	NA	NA	NA
AC012531.25	NA	NA	1	1	19.4410478328187	1	1
AC013463.2	NA	NA	NA	0	53.6053391852319	512.660287091738	NA
AC013733.4	0	16.3180233130071	23.7219947931528	29.742994791393	NA	112.143690131943	0
AC016831.7	NA	NA	583.510138345064	NA	96.7444321605618	NA	NA
AC016999.2	0	NA	NA	604.310799860697	NA	NA	NA
AC017002.2	NA	NA	NA	NA	NA	707.633775892051	8023.26904058685
AC017104.6	0	344.206565244767	NA	NA	NA	NA	NA
AC018755.16	NA	NA	0	NA	NA	NA	NA
AC018755.17	0	NA	82.1602350484588	0	7.02498363485359	NA	0
AC018766.6	0	75.7209662795029	0	NA	NA	0	0
AC018816.3	NA	NA	NA	NA	114.731961983064	NA	NA
AC024560.2	1	151.963873616401	1	NA	176.196212166576	1	NA
AC025442.3	NA	170.101431943722	NA	NA	94.183031584139	NA	NA
AC064852.4	NA	NA	NA	0	NA	NA	0
AC067956.1	1	5.31411581772053	1	1	5.80110542471443	1	1
AC068039.4	NA	243.406439741079	807.924283127241	NA	181.910219490255	2337.22243357307	NA
AC068138.1	NA	NA	NA	NA	145.891795854606	1	NA
AC068831.3	NA	NA	221.485614600836	159.130518445219	31.9985332603194	108.179489051054	0
AC073283.7	0	314.638381054984	NA	NA	237.334504636397	NA	NA
AC073321.4	1	NA	NA	NA	154.012013472434	NA	1
AC074212.6	0	139.746814300955	NA	NA	NA	NA	2604.80412527529
AC079305.10	0	NA	NA	359.531626196536	NA	NA	7360.30777041006
AC079741.2	NA	0	NA	NA	NA	1602.07258221926	NA
AC079767.4	NA	111.069401590279	0	194.13532096447	NA	NA	7032.37563747052
AC079807.4	0	0	NA	0	16.2753848759098	0	NA
AC083843.1	NA	NA	NA	0	220.432809132216	0	10416.7914640272
AC083949.1	0	205.899238483805	204.971056061318	NA	79.1053017307496	NA	NA
AC084219.3	NA	NA	NA	114.880164323079	NA	621.64690440427	NA
AC087501.1	NA	NA	0	NA	17.2390805302657	348.353658148357	7139.48304770407
AC090627.1	NA	NA	NA	NA	NA	0	NA
AC091133.1	0	NA	NA	NA	298.696264128928	NA	NA
AC091633.3	0	NA	0	0	36.9981949850081	NA	NA
AC092192.1	NA	61.9685301871232	NA	0	NA	214.212543228568	NA
AC092620.2	NA	536.677893175413	1	NA	407.263659503882	1	NA
AC092660.1	0	NA	0	NA	NA	1209.16491096883	15510.7983641557
