GeneSymbol	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	T_cell	Endothelial
A1BG	2.58469434730826	0.602160444812935	2.65466324502521	1.6827952832086	0.154584937274569	0	0.921091338062298
A1BG.AS1	2.72802913876078	0.766981690038031	4.31825487885055	0.593282179611899	0.197502214256374	10.2758794938376	5.11261663817463
A1CF	0	1.1328942220001	1.22717326958489	0	0.0599497603097004	196.229408609249	3.06943178782489
A2M	38408.771588563	3157.72958276486	26356.0230804812	4827.63024052358	0.383747030532431	1312.44055901349	23.2317536892701
A2M.AS1	17.4723842174284	2.53044013187528	4.8343030313966	1.86396350714751	0.453893968730453	25.2624762612571	233.042916861095
A2ML1	11.095042604012	0.553848148469148	15219.2585178455	0.403700996093545	66.7324711509173	177.22923635983	12645.4013718635
A2MP1	0.21017619357663	0.821798011522668	2.34223128134506	0.907430668607371	0.155667643341146	0	2.79084274030177
A4GALT	22.5410532033362	5.10411768246576	374.256657265093	0.514870297837495	0.578161653852318	54.7616834790596	27.0482768764521
A4GNT	2.57207603248394	0.454063073106485	1.90968744469705	0.588839567799589	0.254144074575555	0	0
AA06	22.1150466742839	2.42455701167223	1.65834132800166	12.7948036788004	0.211090809622397	9.48146836530747	0
AAAS	1.37654428877623	0.406721563824662	134.170353059406	0.665113305729048	0.144317020482075	3.41060558847916	0
AACS	0.182868725182189	0.0852046430629134	0.348294332340238	0.142263431938095	0.0216879791058931	521.741013781876	0.289464916850065
AACSP1	0.80051985036649	0	3.93525785094686	0.952103668389138	0.347230088328622	25.4843480753049	10.0146418131557
AADAC	1.04422630250126	0.429241717410323	110.408814751717	4.51276481382309	2.66567972702271	4841.43993254763	328.823966437398
AADACL2	71.6474279109374	0.268036866909096	199.387166874597	0.168277690236294	0.0812561488694439	2424.89441100163	49.2560446417148
AADACP1	1.31740615383399	0.606072723717115	0.21078665614794	0.380973867639179	0.189177936021451	0	1.50554984727497
AADAT	10.587144702485	7.34185273991215	11.4316510739737	2.14626310822752	0.136094771576918	38.1894257606922	0.481717735444233
AAED1	0.407568511671309	0.488320032071076	2294.5534094212	1.13164972568458	0.25301475098052	84.062271850179	0.615604496181175
AAGAB	211.042494967483	62.7437628373688	331.936321544062	156.803135431896	0.0865883167386661	4.43815406871879	198.021663683044
AAK1	9.39398549497833	28.0305439238418	1.00812919332432	969.827546516697	0.134424582439892	256929.012397738	9567.0674945337
AAMDC	5.02371010417132	2.34376404611376	18.1604995393361	44.457134229491	0.136466403887889	0.19483066976718	1.54393537967284
AAMP	3.57391369488411	14.379088307524	16.4414341257645	510.295955053382	0.164417242868779	622.200171148373	5.6002460730686
AANAT	0.963441301823697	0.77605023184476	3.40285321944939	0.284903987928027	0.501454702663252	9.09304906324788	1.20078359860486
