"Mixture"	"Neutrophils"	"Fibroblasts"	"Melanoma"	"Macrophage"	"Keratinocytes"	"T_cell"	"Endothelial"
"D_8_17_39"	"0.0689058223497076"	"0.13006942269508"	"0.00332624378523915"	"0.149304547595319"	"0.648393963574654"	"0.000176254372177401"	"0"
"D_8_17_68"	"0.0690651944302117"	"0.115583426820595"	"0"	"0.123023293089092"	"0.685369452198768"	"0.00158368026637119"	"0.00695863346133313"
"D_8_17_64"	"0.0724057026774844"	"0.174856618919278"	"0"	"0.104837850034776"	"0.608951195026798"	"0.000467791789447757"	"0.0389486333416635"
"D_8_17_71"	"0.0812505631438351"	"0.139517529503515"	"0.00212127539021687"	"0.148494773565529"	"0.597260408007403"	"0.00235909553920896"	"0.0301909665954724"
"D_8_17_183"	"0.0662142899579252"	"0.174029563245245"	"0"	"0.152208813325537"	"0.607547333471293"	"0.000774581932133212"	"0"
"D_8_17_17"	"0.0833455971370274"	"0.192114684697604"	"0"	"0.161853799651212"	"0.527880305546192"	"8.71044537352376e-05"	"0.0348056129679641"
"D_8_17_92"	"0.083247603535886"	"0.127390613097387"	"0"	"0.176450709845751"	"0.612911073520976"	"0.000469110765083208"	"0"
"D_8_17_96"	"0.0618647113869272"	"0.130456237641561"	"0.000920286556564652"	"0.0945009449003758"	"0.684923921412681"	"0.0222458695050148"	"0.00630800756468348"
"D_8_17_184"	"0.0881943306294144"	"0.170549624960655"	"0.0176106168952553"	"0.105747132781874"	"0.616525464505345"	"0.000266032836954316"	"0.00137283022745634"
"D_8_17_144"	"0.0808679184191085"	"0.134840398972753"	"0"	"0.206870616046255"	"0.577421066561884"	"0.000320720407905195"	"0"
"D_8_17_26"	"0.0876772985909288"	"0.159684196981804"	"0"	"0.141369923761874"	"0.611268580665393"	"0.000747053715102164"	"0"
"D_8_17_83"	"0.0648276517973021"	"0.134115381464877"	"0"	"0.146032240086966"	"0.655024726650855"	"0.000217981211802357"	"0"
"D_8_17_23"	"0.0784121550986611"	"0.14650819110571"	"0"	"0.148115685137312"	"0.622051851303428"	"0.000513716908811104"	"0.004912117354889"
"D_8_17_35"	"0.0547418533224871"	"0.0979842837884392"	"0"	"0.14237781255669"	"0.697428935414744"	"0.000601813121611908"	"0.00746711491763939"
"D_8_17_113"	"0.076483334402091"	"0.12052259362961"	"0.000763537955535359"	"0.139685446461921"	"0.644840418094278"	"0.00154982186331112"	"0.0177046694565646"
"D_8_17_19"	"0.0939894970191386"	"0.13853656665146"	"0.022123251470219"	"0.164962498616908"	"0.580388186242275"	"0.00170962282511647"	"0"
"D_8_17_105"	"0.0695257220429428"	"0.141039455843576"	"0"	"0.144857890841505"	"0.644576931271976"	"0.0007701488026301"	"0"
"D_8_17_142"	"0.0774343135672266"	"0.119780510792396"	"0"	"0.150457881030864"	"0.635435615108355"	"0.000716873043602934"	"0.0168916795011588"
"D_8_17_97"	"0.0791085681913931"	"0.124960904777894"	"0.00370196204821555"	"0.129118709233286"	"0.653797688451683"	"0.000111756428716729"	"0.00931216729752781"
"D_8_17_57"	"0.0664969633218358"	"0.121360259840238"	"0"	"0.158097185392509"	"0.639944051240009"	"0.0017739101138706"	"0.0141015402054076"
"D_8_17_121"	"0.0774718279627576"	"0.115216233408575"	"0.00227361972400351"	"0.171810703844698"	"0.63266293783205"	"0.000387577753587831"	"0.000564677227915757"
"D_8_17_181"	"0.0757209803573228"	"0.138934091000213"	"0.00327072798084007"	"0.147817748792978"	"0.606700767850989"	"0.00101403373518053"	"0.0275556840176567"
"D_8_17_76"	"0.071767139662795"	"0.13976268589083"	"0.00714571586314811"	"0.179603196177979"	"0.58151292003008"	"0.00157900673625679"	"0.0202083423751681"
"D_8_17_86"	"0.0779631911953"	"0.187234826505549"	"0"	"0.129222740900913"	"0.573742593435056"	"0.000668755957083702"	"0.0318366479631824"
"D_8_17_85"	"0.0774708774165118"	"0.10410784020928"	"0.00187591728917574"	"0.112412069314402"	"0.70413329577063"	"0.000353522092931756"	"0"
"D_8_17_5"	"0.0735115423278088"	"0.133313846627223"	"0"	"0.130898084536794"	"0.662276526508175"	"0.00140586826859483"	"0"
"D_8_17_179"	"0.0535488198591114"	"0.142191930919669"	"0"	"0.168637733280516"	"0.605451894642966"	"0.00245822710438772"	"0.0301696212977373"
"D_8_17_186"	"0.0694616670811249"	"0.12769689399722"	"0.00586764851190858"	"0.130109237045167"	"0.656380519017968"	"0.00478078723555582"	"0.00859281646120565"
"D_8_17_20"	"0.0733627584890177"	"0.133199790093084"	"0"	"0.192643588130337"	"0.595026020306542"	"0.000703196044428637"	"0.00576784298101913"
"D_8_17_155"	"0.0946737142327295"	"0.132502100689015"	"0"	"0.150991296953354"	"0.590562321680724"	"0.00171798542304611"	"0.0312705664441777"
"D_8_17_158"	"0.0842578792822994"	"0.097526603172946"	"0.0197660664820828"	"0.136844515044493"	"0.649199400111453"	"0.00032774779942544"	"0.0124055359067254"
"D_8_17_170"	"0.0677602199667968"	"0.205584253267448"	"0"	"0.121115837253334"	"0.580241439318211"	"0.000396283623115465"	"0.0252982501942106"
"D_8_17_133"	"0.0764109884657235"	"0.123338074748266"	"0.00696085369270015"	"0.109266992891189"	"0.654641017967801"	"0.0178974436308348"	"0.0120195252406644"
"D_8_17_70"	"0.0658298509726759"	"0.133738250338999"	"0.0075595323473227"	"0.104546624021632"	"0.675810126201664"	"1.33058162855516e-05"	"0.0125156161177058"
"D_8_17_137"	"0.0854892511211569"	"0.101520793610572"	"0.00230459645344166"	"0.124570985846617"	"0.668620392631761"	"0.00172408343751018"	"0.0164088832920021"
"D_8_17_148"	"0.076974697299537"	"0.167624225175039"	"0"	"0.126762488833337"	"0.619160444663722"	"0.0117264440413436"	"0"
"D_8_17_165"	"0.0719895752879867"	"0.177958123078464"	"0"	"0.169579720404174"	"0.564254979690925"	"6.63278791865295e-05"	"0.0162176015384501"
"D_8_17_132"	"0.0851681816942371"	"0.111111621293119"	"0.0178836595349019"	"0.19018778133709"	"0.582703028496614"	"3.1591658174877e-05"	"0.0129457276440378"
"D_8_17_33"	"0.0643607538356072"	"0.161330899291689"	"0"	"0.119124715186183"	"0.633194335404183"	"0.000535025120786531"	"0.0219892962823376"
"D_8_17_107"	"0.0794873867571905"	"0.150084250237266"	"0"	"0.138909139563318"	"0.613974898966045"	"0.0014614942392097"	"0.0175443244761806"
"D_8_17_171"	"0.0955027907597067"	"0.132797858361952"	"0"	"0.123588116374656"	"0.638373191098977"	"0.00034941726222284"	"0.00973804340470812"
"D_8_17_169"	"0.0745427260415235"	"0.119625981290808"	"0.0136586580842632"	"0.131606890870603"	"0.646855401401974"	"0.00104562868470237"	"0.0137103423108282"
"D_8_17_13"	"0.104693661447058"	"0.116970979493535"	"0"	"0.198346677510101"	"0.552056859433897"	"0.000627137117105215"	"0.0279318221154094"
"D_8_17_118"	"0.0706385794054381"	"0.131447242528313"	"0.00428577729154315"	"0.140350967359777"	"0.653277433414929"	"0.000395707776958981"	"0"
"D_8_17_41"	"0.0726190529439257"	"0.123295168398618"	"0"	"0.125326606406104"	"0.678759172251352"	"0.00120751137977052"	"0"
"D_8_17_74"	"0.0780165643277438"	"0.173881006572146"	"0"	"0.144572919630145"	"0.584622628029289"	"0.00380473130067992"	"0.0160479139581608"
"D_8_17_109"	"0.0799802146850221"	"0.201496632272167"	"0"	"0.121740018076993"	"0.569515524929191"	"0.000644296645535117"	"0.0272676100366264"
"D_8_17_58"	"0.072811100909609"	"0.11729461679556"	"0"	"0.132659009057028"	"0.658098888361867"	"0.000272169575568967"	"0.0191363848759362"
"D_8_17_106"	"0.091874029180232"	"0.142938139939805"	"0"	"0.166942597595516"	"0.567924657976618"	"0.00123110574396868"	"0.030320575307829"
"D_8_17_123"	"0.0808077054375732"	"0.140429561801403"	"0"	"0.124054643873951"	"0.627625177259249"	"0.00136068443619693"	"0.0270829116278238"
"D_8_17_7"	"0.0704787062660643"	"0.0932134639883097"	"0"	"0.166575034397275"	"0.64800928917601"	"0.000320849536770095"	"0.0217235061723413"
"D_8_17_162"	"0.107917657731725"	"0.185666272792137"	"0"	"0.113567492049771"	"0.585534972358844"	"0.00285364846919734"	"0.00558353421706856"
"D_8_17_37"	"0.0830704510996092"	"0.115250073343224"	"0.00298802397498627"	"0.142101355383101"	"0.624603116407842"	"0.00105202087055471"	"0.0319869797912375"
"D_8_17_151"	"0.0924996710257561"	"0.143243466805739"	"0.00024963921243486"	"0.173267421019551"	"0.590739801936519"	"0.00103625579789516"	"0"
"D_8_17_8"	"0.0854060925077004"	"0.170743981949504"	"0.00410561057023824"	"0.123706696425213"	"0.576637751547026"	"0.00111444683206843"	"0.0393998670003185"
"D_8_17_45"	"0.0572632748243771"	"0.11523101231586"	"0.00366333299253159"	"0.111661161743684"	"0.701698206190092"	"0.000530456610511081"	"0.0104830119334548"
"D_8_17_54"	"0.0709390126168738"	"0.10982575513815"	"0.0239684592961521"	"0.130110378548631"	"0.659751501349931"	"0.00540602637544266"	"0"
