GeneSymbol	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	CD4_T	CD8_T	Endothelial
ABHD17A	NA	NA	NA	23605.6090744539	NA	NA	0	0
ABHD17B	NA	1930.9589634054	3702.27235685801	NA	1780.04828047476	NA	49105.6948020081	NA
ABHD17C	NA	1	NA	NA	1146.61662476242	NA	1	NA
ABHD2	NA	NA	1539.11813246368	NA	941.865870812548	NA	NA	0
ABHD3	NA	NA	NA	1	1304.43148475555	NA	1	NA
ABHD4	0	1458.2773779775	NA	NA	532.136734342592	NA	NA	NA
ABHD5	NA	3574.73382460763	NA	NA	NA	NA	137610.080975938	NA
ABHD6	0	3697.01140000214	4451.35157706391	0	NA	NA	0	0
ABHD8	0	NA	NA	NA	140.811316778819	0	21664.7517516568	0
ABI1	0	NA	NA	NA	NA	NA	405996.034404657	0
ABI2	NA	NA	NA	NA	1641.72819158886	NA	0	0
ABI3	1	236.435744241315	1	1	247.856442316609	NA	NA	1
ABI3BP	NA	1	1	1	5642.8819790564	NA	NA	NA
ABL1	0	NA	NA	NA	2229.90569876762	0	NA	0
ABL2	1	825.600203775876	1	1	389.168425587844	1	1	NA
ABLIM1	NA	7696.62641796353	NA	NA	10556.9481734394	NA	NA	NA
ABLIM2	0	NA	NA	NA	375.141502738427	NA	0	NA
ABLIM3	NA	NA	NA	NA	349.751394206111	NA	NA	0
ABO	0	196.08512077666	321.019078352088	0	128.116060179955	NA	NA	NA
ABR	NA	2139.08438482262	NA	NA	2326.63476779333	NA	NA	NA
ABRA	0	NA	0	NA	NA	0	NA	NA
ABRACL	1	NA	NA	1	1981.3009373186	NA	NA	1
ABT1	NA	NA	NA	1236.69111253328	795.850776046685	4614.44984638898	0	NA
ABTB1	0	NA	0	NA	716.00820461986	NA	NA	0
ABTB2	NA	NA	0	NA	463.069516614204	0	53602.4432946881	0
AC000111.3	0	58.8936142104288	0	NA	NA	NA	1855.31233872545	NA
AC002059.10	NA	495.240977181506	1110.57897601439	0	NA	NA	0	0
AC002064.5	0	NA	0	NA	NA	NA	0	0
AC003973.4	0	NA	107.36222393339	0	NA	691.406491948789	NA	0
AC003989.4	NA	0	NA	NA	51.9020597858839	0	NA	NA
AC004692.5	0	NA	NA	NA	1212.02579248559	NA	0	0
AC004941.5	NA	NA	NA	NA	353.091576465536	1	NA	1
AC005162.4	NA	24.3341492000456	0	NA	NA	NA	NA	0
AC005224.2	NA	NA	NA	NA	106.76594650674	977.384256964739	9543.45638118042	0
AC005256.1	0	NA	35.149029449487	15.6615418732919	9.96848898278979	5.77586147326168	NA	0
AC005306.3	0	NA	NA	NA	168.035368614409	NA	0	0
AC005498.3	0	NA	26.6553869074428	26.3180204039406	6.60982042774052	0	0	0
AC005523.2	0	635.430911362877	NA	NA	NA	NA	0	0
AC005523.3	NA	NA	102.311914647397	NA	NA	NA	0	0
AC005537.2	0	NA	NA	NA	NA	NA	NA	0
AC005592.3	0	NA	NA	NA	33.7248136963392	NA	0	0
AC005606.14	0	NA	0	0	31.3607730934176	NA	NA	NA
AC005785.2	0	NA	NA	NA	NA	3389.5626856001	0	0
AC005838.2	NA	NA	NA	0	NA	0	NA	NA
AC006026.13	NA	NA	0	0	NA	4793.38762365278	NA	0
AC006129.2	0	6.66075583176669	0	22.6162004416563	NA	13.8228119386737	152.186354111766	0
AC006538.1	NA	35.4431541155697	NA	NA	33.128614788938	0	901.026594355672	0
AC007292.3	0	646.883098990427	643.701154951022	NA	NA	NA	0	0
AC007349.5	NA	6.79870171497243	1.10148560295345	1.41636103569939	2.10108250140188	10.2525486689825	89.697211696527	8.34064681991089
AC007362.3	NA	19.9080288726552	39.3547424986584	NA	NA	91.3494907468697	NA	0
AC007365.3	0	NA	NA	NA	95.3298012472867	0	NA	0
AC007389.3	0	200.653066277023	NA	375.626489990896	NA	NA	NA	NA
AC007401.2	NA	NA	NA	NA	90.7168503682843	NA	10715.8596946554	0
AC007680.2	NA	0	46.4462546412513	0	11.3434822018036	0	NA	NA
AC007787.2	NA	NA	NA	0	NA	NA	NA	0
AC008088.4	0	NA	NA	NA	55.5391543226194	0	0	NA
AC008746.12	NA	NA	NA	NA	121.429104885853	NA	18926.7653491259	0
AC008753.4	0	NA	228.682759208452	NA	84.3343084565423	NA	0	0
AC009120.6	NA	306.214351507688	NA	NA	401.940197316165	NA	NA	NA
AC009133.15	0	0	285.864318157885	NA	100.249078271891	NA	NA	0
AC009502.4	0	NA	NA	NA	117.755779918858	NA	NA	NA
AC010145.4	NA	NA	10.8379532379413	NA	10.6586748397031	0	817.042985784022	0
AC010524.4	NA	NA	NA	NA	215.146277949029	1	NA	NA
AC012065.7	NA	229.275835906649	334.233340239488	459.30690694879	233.193735840026	1816.5103532249	NA	0
AC012360.6	NA	NA	NA	NA	83.8613167797814	NA	NA	0
AC012499.1	NA	NA	NA	0	NA	NA	0	NA
AC012531.25	0	16.7099691665814	61.9106562373711	NA	12.907222840204	192.646355611065	NA	0
AC013463.2	NA	1	1	NA	52.2813258020229	1	1	NA
AC013733.4	0	0	NA	0	6.9030904017283	35.8823076920715	0	NA
AC016831.7	NA	326.222266852496	NA	NA	NA	0	NA	NA
AC016999.2	NA	NA	NA	0	58.8690999395708	NA	NA	0
AC017002.2	0	NA	NA	NA	NA	NA	8911.60834391671	0
AC017104.6	0	NA	NA	0	118.788733029409	0	28633.4273135425	0
AC018755.16	NA	714.416261582029	NA	NA	NA	NA	19483.5795843618	0
AC018755.17	0	0	NA	NA	7.61186469186229	NA	NA	NA
AC018766.6	0	NA	NA	NA	25.3209091774537	NA	NA	NA
AC018816.3	0	NA	NA	NA	147.917418838771	0	0	0
AC024560.2	1	236.462325361262	240.792270359807	1	146.660524948986	1	1	NA
AC025442.3	NA	NA	262.549186146042	178.986984273847	147.238146260269	1022.33773038431	0	0
AC064852.4	NA	NA	NA	NA	11.7460220140272	NA	NA	0
AC067956.1	NA	0	0	NA	7.32656757775458	NA	NA	0
AC068039.4	NA	346.054719017593	NA	NA	NA	NA	NA	0
AC068138.1	NA	NA	NA	894.842478286304	NA	3328.66510812939	NA	0
AC068831.3	0	121.096756140578	NA	364.967052293854	NA	0	NA	0
AC073283.7	NA	931.956150985024	NA	0	NA	NA	NA	0
AC073321.4	0	NA	NA	NA	NA	NA	0	NA
AC074212.6	NA	NA	NA	NA	NA	NA	NA	NA
AC079305.10	0	NA	354.091947445337	NA	57.363992696453	0	NA	NA
AC079741.2	0	NA	NA	0	NA	0	NA	0
AC079767.4	1	NA	NA	1	83.6327115235114	1	1	1
AC079807.4	0	0	165.345799158549	0	16.267731519437	0	0	0
AC083843.1	NA	546.847973549827	NA	NA	NA	0	27229.9171499521	0
AC083949.1	0	120.430191241319	362.984199196473	NA	101.446698386931	0	NA	0
AC084219.3	0	53.5242959901827	NA	188.526595711961	NA	271.490467911873	0	0
AC087501.1	NA	NA	0	NA	12.6332309460253	NA	0	0
AC090627.1	0	87.4638054206036	NA	0	NA	0	0	NA
AC091133.1	NA	NA	0	0	311.917760852985	NA	20091.4656541452	0
AC091633.3	0	NA	NA	191.061524530763	NA	0	NA	0
AC092192.1	0	NA	NA	NA	25.388750423502	0	NA	NA
AC092620.2	0	NA	NA	897.733526834787	461.036020254043	0	NA	0
AC092660.1	NA	NA	NA	NA	113.718765137247	1	1	NA
AC092667.2	0	0	NA	0	14.2219234673627	NA	NA	0
AC100830.4	0	315.4218403451	NA	NA	NA	NA	NA	0
AC104667.3	0	NA	NA	44.399878724007	NA	0	0	0
AC106801.1	0	NA	NA	1321.49664666033	NA	3881.61705398372	NA	0
AC108056.1	NA	7.07370835489799	0	23.5981733427869	NA	0	NA	NA
AC112198.1	0	NA	0	NA	71.1929119068808	NA	NA	NA
AC114730.11	1	1	1	1	13.3952403828592	1	1	NA
AC114752.3	NA	38.8902923067245	NA	193.049088975725	NA	0	NA	0
AC124997.1	0	156.520537735442	176.41883048909	0	NA	NA	NA	0
AC136289.1	0	NA	0	NA	26.2100808982786	NA	0	0
AC139100.3	NA	NA	NA	NA	23.6605640627199	477.438432011634	1615.26958904404	0
AC141928.1	0	NA	0	0	193.464569196171	NA	NA	NA
AC144652.1	NA	NA	NA	NA	232.998002271585	NA	NA	NA
AC145343.2	NA	134.253576268417	111.609157421937	193.092915441637	57.0287407327576	442.034001725371	NA	0
ACAA1	1	1988.81718635382	1	NA	1976.87430871751	1	1	NA
ACAA2	NA	NA	2722.68012904468	NA	1382.2444141497	NA	NA	NA
ACACA	1	NA	1	NA	1386.01424465355	NA	1	NA
ACACB	NA	2488.27671710348	NA	NA	NA	NA	NA	NA
ACAD10	NA	879.841587600652	2402.04103101384	NA	NA	6740.30406210766	0	0
ACAD8	0	3652.61196915769	NA	NA	NA	NA	NA	NA
ACAD9	0	3351.20355553293	NA	0	2686.30747481338	14087.4437886954	0	NA
ACADL	NA	NA	1237.18317212552	0	262.632950940693	NA	13349.4866704194	NA
ACADM	0	3907.374137243	NA	12475.7082925257	NA	NA	NA	0
ACADS	NA	483.003244423249	NA	NA	303.771309359813	0	NA	0
ACADSB	NA	724.838061765153	2438.87785638633	2185.40416293937	445.302615645359	NA	NA	0
ACADVL	0	15512.3777062728	NA	41192.6406016805	NA	NA	0	NA
ACAN	1	165.872032981669	1	NA	206.658067851136	1	NA	1
ACAP1	0	NA	NA	NA	NA	NA	NA	NA
ACAP2	0	4053.3750076708	12335.2148279838	NA	2323.4149042641	31067.3773033265	NA	NA
ACAP3	1	964.371897349136	NA	1	1581.77140944245	NA	1	1
ACAT1	0	6723.51525034981	NA	12132.2299587388	NA	NA	NA	NA
ACAT2	0	NA	0	NA	1953.56507769238	0	NA	0
ACBD3	NA	5600.21989070288	NA	NA	1386.53224062773	NA	NA	NA
ACBD4	0	NA	1346.89398483076	2489.09883930627	413.231073031269	5535.14540882718	NA	NA
ACBD5	0	5115.14540708042	13630.9715927953	NA	2150.68441760025	NA	NA	NA
ACBD6	NA	731.45863767349	NA	NA	678.078621409579	1	NA	1
ACCS	NA	420.813383267743	828.256162361889	885.539412284712	282.913950488424	NA	NA	0
ACD	0	1244.08971807364	NA	NA	NA	NA	0	NA
ACE	NA	257.711285621984	NA	616.843627312283	NA	NA	0	NA
ACE2	0	NA	0	608.465990113011	124.892734755379	NA	NA	0
ACER1	0	NA	NA	NA	NA	NA	0	NA
ACER3	1	1181.36637390482	NA	1	1372.11564947178	NA	1	NA
ACHE	1	NA	NA	NA	112.849293100384	1	NA	NA
ACIN1	0	2359.0260890778	NA	4802.6980136402	NA	NA	98883.3589413751	NA
ACKR1	0	NA	NA	6840.56309329674	1965.6737582898	NA	NA	0
ACKR2	NA	364.428049804062	724.559570191468	0	NA	1749.51186294902	0	0
ACKR3	NA	6228.88173464277	NA	7423.62325356765	3331.65346481692	NA	388915.793651096	0
ACKR4	NA	1780.99579210707	0	0	NA	8620.62834442017	NA	0
ACLY	0	NA	NA	NA	5919.13274133202	NA	0	0
ACMSD	0	NA	319.623575771112	NA	NA	NA	9780.80105496184	0
ACN9	NA	NA	NA	NA	NA	5788.18480466615	NA	NA
ACO1	0	NA	NA	6642.90413634792	1740.83950589378	NA	NA	NA
ACO2	0	NA	0	23875.0475983669	NA	NA	NA	0
ACOT11	1	NA	NA	NA	96.9708475243087	1	NA	NA
ACOT12	NA	NA	0	102.778553170788	7.72972651307581	NA	0	0
ACOT13	0	NA	NA	NA	NA	NA	NA	NA
ACOT4	NA	NA	NA	1003.19210649085	NA	NA	0	NA
ACOT6	NA	NA	0	NA	21.4034513717781	NA	0	0
ACOT7	0	1513.46945083318	2303.63718672243	NA	822.79738333455	7067.36756479525	NA	NA
ACOT8	NA	284.903480652988	413.761078794483	1	415.923430186271	NA	1	1
ACOT9	NA	NA	NA	NA	921.751717202754	NA	0	NA
ACOX1	NA	4038.88807679066	NA	NA	NA	NA	NA	0
ACOX2	0	1352.00764774364	NA	NA	NA	NA	0	NA
ACOX3	0	NA	NA	0	791.60537769232	NA	NA	0
ACOXL	0	NA	182.033808953124	261.43196579986	99.7501872232621	NA	NA	0
ACP1	NA	2669.35765483329	NA	NA	2424.2294377876	1	1	NA
ACP2	0	NA	NA	0	834.85038903833	0	NA	NA
ACP5	NA	NA	NA	NA	1887.33107715054	9293.86111883226	NA	0
ACP6	NA	2243.13475242421	NA	NA	NA	NA	NA	NA
ACPP	NA	NA	11752.347168433	NA	2560.11207139572	NA	NA	NA
ACPT	NA	195.701375771235	1	1	264.246365924016	NA	1	NA
ACR	0	NA	57.8572590633138	36.9081967101728	16.4807572340542	NA	NA	0
ACRBP	NA	173.818365897589	0	NA	170.102723157053	NA	13018.167272487	0
ACRC	0	NA	NA	NA	188.523785574695	NA	0	NA
ACRV1	NA	NA	NA	338.117621629232	120.616030061337	NA	NA	0
ACSBG1	NA	NA	NA	NA	NA	110396.376522189	NA	0
ACSBG2	0	168.997479628739	NA	NA	36.2684974292373	523.314879230482	2498.82503117705	0
ACSF2	1	NA	NA	1	541.874463108999	1	NA	1
ACSF3	0	378.620356534688	NA	NA	NA	0	13920.7757245775	0
ACSL1	0	22216.8672912054	NA	NA	NA	0	NA	NA
ACSL3	0	NA	0	NA	1468.3997555326	NA	0	NA
ACSL4	1	468.329107665655	NA	1	418.204624946172	NA	NA	1
ACSL5	NA	NA	NA	NA	455.184981546389	NA	NA	NA
ACSL6	NA	NA	120.37748728585	116.512199286978	NA	NA	2951.01851927617	0
ACSM1	0	NA	0	0	NA	1212.53089138904	NA	0
ACSM2A	0	NA	247.778460012243	0	NA	0	0	0
ACSM2B	NA	0	NA	0	32.0575708914063	341.361600599115	0	NA
ACSM3	NA	NA	NA	NA	224.339276506716	NA	NA	0
ACSM5	NA	NA	NA	NA	219.497394566588	0	NA	0
ACSS1	0	1138.50312301943	964.226046952837	NA	NA	0	30965.3083025637	NA
ACSS2	NA	NA	0	6555.34528477817	1838.25508222719	NA	NA	NA
ACSS3	0	NA	472.77997365965	NA	291.801073178167	0	NA	NA
