GeneSymbol	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	CD4_T	CD8_T	Endothelial
ABCB6	0.80871346775866	1.05148816729927e-07	0.111555771182141	0.00219096921218395	5.22073629212303e-26	0.447067487340255	1	0.11124216779858
ABCB7	0.182438371624364	3.0935543291479e-05	0.268526049674223	0.20215854019213	1.22964605456198e-14	0.719372465988662	1	1
ABCB8	1	0.0622777013371361	0.721527179566058	1	9.11066260741333e-13	0.743756063229049	0.586431061435844	1
ABCB9	0.468092644585607	0.526576049229133	1	0.910462145965623	0.112512414804649	0.957274993847436	1	1
ABCC1	0.654345353307473	1	0.293707645792531	0.288568695480014	2.9453720726551e-05	0.748882586737653	0.141310501557978	0.717226093403006
ABCC10	1	0.241290490543301	0.685316857596311	0.286682546103554	0.0329490715564319	0.399030377118548	1	1
ABCC11	0.10325344161661	0.280919837573104	0.531600041893081	1	0.425327312177134	0.565838929853156	0.781638213110483	0.689154009777587
ABCC12	1	0.284724283795358	1	0.518402514860226	1	1	0.572151572424963	1
ABCC13	1	1	1	0.707472304187419	0.000115626532351274	1	1	1
ABCC2	1	1	1	1	0.131791867363992	0.552611353787781	1	0.420660181720245
ABCC3	1	0.00148249330626993	0.811434941949473	0.125937040975484	5.668450322968e-08	0.38123724472601	0.627064650877102	1
ABCC4	1	0.308033159137077	0.276453718259351	0.636408733793897	2.31521739754302e-05	1	1	0.867480165668425
ABCC5	1	0.362786926637192	0.408489934749485	0.759923019588414	2.8854340429588e-06	0.40693380254637	0.296690149157275	1
ABCC6P1	0.691379828083704	0.0223667497209647	0.584726527453087	0.321279217241272	0.000615330405817236	0.99551036784706	1	1
ABCC8	1	0.547231978456466	0.967255472866567	1	0.0876777558363739	0.730510098680924	1	1
ABCC9	1	0.658682206180593	1	1	0.000383121989390892	1	1	1
ABCD1	1	7.58201918534944e-08	0.0126778242609997	0.0530484432914951	2.00677380325312e-21	0.547952596760121	1	1
ABCD2	1	1	1	1	0.0757741893561483	1	0.773838963921247	1
ABCD3	1	0.636296491494559	0.493256572880817	0.153203012796105	2.07860209526404e-10	0.884537194196607	0.44034615766264	0.434468536422892
ABCD4	1	0.00108681926118766	1	0.48499285544653	1.062492354717e-14	1	0.862806657317205	1
ABCE1	1	0.15448156851585	0.554390104928582	0.0420195921998903	0.00848982696488188	0.977137463523162	1	0.366224801210797
ABCF1	0.771392388183031	0.0146916265813245	0.842643899984473	0.260225472692606	3.65006976959915e-05	0.410904211331756	0.627364621207985	1
ABCF2	1	0.495466653723071	0.693281563967305	0.934560130542142	5.88575825306181e-07	1	0.762313160513625	1
ABCF3	0.153627670834971	0.0047557892888697	0.105083647867657	0.559061120453875	5.00786173328898e-07	1	1	1
ABCG1	0.906458645970031	0.498778781409953	1	1	0.378164211703661	0.820092422315705	0.489740897819227	1
ABCG2	0.527226668473504	0.764076443596433	0.995893574860695	0.00818678679779775	1.06928537119341e-09	0.825453065300253	1	1
ABCG4	0.795342878627875	0.579009520196394	0.100388447706529	1	0.0189923191458538	0.499369236156848	1	1
ABCG5	1	0.429356460909948	1	0.145693602546445	0.823791200520164	1	1	1
ABCG8	0.980674310580039	1	1	0.87597554117335	6.93388928369272e-05	0.586922597047838	0.765900100499106	1
ABHD1	1	0.373311857318272	0.773317656513654	0.0518920032160277	0.0128673334906054	0.408865166119292	1	1
ABHD10	1	0.117734262666518	0.291466740587057	0.512226146538804	2.68981156457306e-05	1	0.318144192849627	1
ABHD11	1	0.0329984594639158	1	1	4.86463931188648e-05	0.677414468596914	0.775609436830691	1
ABHD12	0.340484824046379	0.114461397433879	0.836654891206797	1	3.46290157982492e-06	0.472659311846767	1	1
ABHD13	1	0.0725976188781414	1	1	0.0164314151392568	1	1	1
ABHD14B	1	0.0762833107486098	0.627706411422794	0.370582360630929	2.02281376616489e-05	1	1	1
ABHD15	0.602378734430673	0.592446207566922	0.333509998460177	0.305265268570341	0.016345430440323	1	1	0.880988198298172
ABHD16A	1	0.458105986102269	0.687715412642444	1	0.0245733384728324	1	0.999117020442556	1
ABHD16B	1	0.34519704160266	0.115536307857836	1	6.23854714805498e-08	1	0.781829302169345	0.9724451966505
ABHD17A	0.904091334601162	0.346182094502145	0.204062299939749	0.209484377851215	0.228599680837163	1	1	1
ABHD17B	0.721543101429287	0.0771643248534576	0.160093982288036	0.581286293524178	1.55609755148985e-05	0.338839867804445	0.431602807656204	0.999870484103547
ABHD17C	0.593092944733746	0.353226021859909	1	1	3.46460659192835e-07	0.87178248339978	0.472052815915589	1
ABHD2	0.882438478010967	0.364726442894543	0.249548797075015	0.905911776984766	7.82547974423486e-06	1	1	1
ABHD3	0.949843418402736	0.928687562847263	0.563016018292591	0.194151443098414	2.1758589063639e-10	1	1	0.805220458473076
ABHD4	1	0.0610234107390875	1	1	0.0530275002670255	0.442597741335933	0.676898298839568	1
ABHD5	1	0.00748336579648612	0.399408726394721	0.460538887862358	0.0199929698886051	1	0.0699857928580115	0.185929070344226
ABHD6	1	0.0569000637083612	0.338788904115112	1	0.269272367660276	1	1	1
ABHD8	1	0.791284104331662	0.975394282236873	1	0.155950128683622	1	0.18166760272981	1
ABI1	1	0.0405819221230373	1	1	0.644579361775916	0.117250391074083	0.0387096468053572	1
ABI2	0.257569160236553	1	1	0.757828346389865	2.66054397825814e-05	0.80461875031394	1	1
ABI3	1	0.0205945861028822	0.214598103531307	0.0550644861662489	1.82833679453536e-09	1	0.480651047376962	1
ABI3BP	1	0.362822656142918	0.185779756165689	0.128402598509543	1.81793569579075e-12	0.596981232814103	1	0.5413555122989
ABL1	1	0.827616433727323	1	0.822759221943569	0.0898898564054839	1	0.181340556892246	1
ABL2	1	9.80609379579706e-05	0.0965697628021937	0.40745842178145	6.13626253542661e-07	1	0.351930923593554	0.285347905580829
ABLIM1	0.727375100416465	0.0142926326043898	1	0.515523907195022	3.83602384017432e-14	0.673914234343907	0.878065231281083	0.229041878928111
ABLIM2	1	0.941038691321697	0.857230749842801	1	0.0191534025062288	0.826549617004612	1	0.654828471111689
ABLIM3	0.242590493722876	0.721272647096293	1	0.327775440612066	0.00651426057115909	0.331661828309973	1	1
ABO	1	0.0784416043230733	0.231353829313728	1	0.00155570153505496	0.975224279768612	0.514669656423392	1
ABR	0.310443267974995	0.370649455797515	1	0.218203917189633	0.00723597947560149	1	1	0.240139437499028
ABRA	1	0.234263883235202	1	1	0.17407705613009	1	1	0.749443001069182
ABRACL	1	0.596082852671865	0.483502628243694	0.1157840737238	7.702390895359e-13	1	1	1
ABT1	0.935030433818976	0.720267273322575	1	0.383696836280685	4.07542995566395e-05	0.218734433035609	1	1
ABTB1	1	0.66730053865258	1	1	0.00418542205667029	0.605130096544581	0.655830619197832	1
ABTB2	0.232502293261544	0.724487042158007	1	0.446611851454552	0.0390058299040345	1	0.14067663933141	1
AC000111.3	1	0.0338822935156512	1	1	0.509566203409517	0.999684615196218	0.241006819240197	0.998230218304097
AC002059.10	0.956634676872196	0.0269702411094935	0.040139860772405	1	0.435104224707703	1	1	1
AC002064.5	1	0.474681196341118	1	1	0.611291685556218	1	1	1
AC003973.4	1	0.664150735294041	0.494073042155403	1	0.290858151774521	0.145610337201782	0.648341206746175	1
AC003989.4	0.530420168457116	1	0.529095507951185	1	0.383481129332602	1	1	0.793657200296517
AC004692.5	1	1	1	0.466561842790643	0.0105430896337999	0.794840298871331	1	1
AC004941.5	0.400587561943061	0.34485679652616	0.843248384551565	1	2.5987608594322e-07	1	0.44335828476568	1
AC005162.4	0.738953400238212	0.21842804812746	1	0.464278642843765	0.019771035459365	0.636883080919423	1	1
AC005224.2	0.0369006211236159	1	1	0.870349503688174	0.0283092235025748	0.322990595452553	0.22438135819555	1
AC005256.1	1	0.459523860410724	0.0297771077015798	0.388226460154129	5.58047523778768e-05	0.903573716551587	0.770924681074022	1
AC005306.3	1	0.484977753180777	0.80111712421617	0.975074146707781	0.00990093118327721	1	1	1
AC005498.3	1	0.258968011258831	0.100109040313087	0.153585183303591	0.00607181644784868	1	1	1
AC005523.2	1	0.0425439619612623	0.40627969172716	0.920355653666473	0.221002826494139	1	1	1
AC005523.3	0.431096038391981	0.22709660125807	0.424071976422098	0.36464155443918	0.108019104397438	0.551386313940601	1	1
AC005537.2	1	0.694363069883456	0.823164275347267	0.47405814374859	0.13099919475826	1	0.84038889510021	1
AC005592.3	1	0.573624589400872	1	0.674069323643666	0.0896584884769458	1	1	1
AC005606.14	1	0.851146671583914	1	1	0.0505681780767772	0.775366951148568	0.741815659703102	0.404422250832334
AC005785.2	1	0.392080171775622	0.459347255325738	1	1	0.0802794720062287	1	1
AC005838.2	1	1	0.250893423197545	1	0.638690785395602	1	0.883722429459755	1
AC006026.13	0.241388912282889	0.799538882565251	1	1	0.215234197306151	0.202914968238852	1	1
AC006129.2	1	0.0920851813635615	1	0.039744053862103	0.171687826127434	0.627645730600169	0.500877295899123	1
AC006538.1	0.192449936914147	0.240250462644919	0.857414956050796	0.599412785842347	0.00260229558168463	1	0.60350840923626	1
AC007292.3	1	0.00959132767358695	0.276512580320184	0.510385194519645	0.670832749624673	0.356031787436506	1	1
AC007349.5	1	0.00704522008427715	0.852736707196406	0.8342853240062	0.0175342865392674	0.565870315007552	0.526397840264097	0.897986044977702
AC007362.3	0.14199661250847	0.147872290018628	0.236564829329243	0.545571761326443	0.307933519593333	0.359569147058088	1	1
AC007365.3	1	0.36442188031	1	1	0.0193177368422376	1	1	1
AC007389.3	1	0.0522214318587001	1	0.185090840954945	0.159829322069623	1	1	0.830447570951645
AC007401.2	0.470068171989382	1	0.344420780896324	0.706725366241915	0.0645536284321793	0.782578026110205	0.17908850102361	1
AC007680.2	0.999528553394447	1	0.262807736006771	1	0.0627812027519892	1	0.987655487042418	0.668694549515922
AC007787.2	0.38314429809445	0.200844267844556	0.886498530542989	1	0.12179355372568	1	0.863974738076604	1
AC008088.4	1	0.947367434059085	1	0.500006024458971	0.053121380064862	1	1	0.858804750738564
AC008746.12	1	1	0.194518738412512	0.999989524931793	0.149319838833337	1	0.169161983816866	1
AC008753.4	1	0.0644108641446144	0.105862295309234	0.740545057326507	0.000102507727294142	0.73529660860141	1	1
AC009120.6	0.741420181992801	0.00246879147511218	1	0.626568631389656	2.67186974718277e-17	0.607171191356192	0.948828703150987	0.542727052982009
AC009133.15	1	1	0.268431293564121	0.340801513852148	0.00921782206327827	1	0.523841350298635	1
AC009502.4	1	0.762775766424425	1	0.943708247354335	0.0268286058351812	1	0.895457338295847	0.836797099373086
AC010145.4	1	0.387464571191212	0.69241761952517	1	0.00935209157016493	1	0.213312048150854	1
AC010524.4	0.321248534925316	0.843530544246867	1	0.817537302465525	1.65900848466031e-08	0.12761216232347	0.366658094780124	0.0754322008728986
AC012065.7	0.746362748724297	0.0966736990728768	0.31423649753018	0.226306968889888	8.52574710721853e-06	0.0714064663737194	0.872757623518174	1
AC012360.6	1	0.465779125584612	1	1	0.00474996302440644	1	1	1
AC012499.1	0.599871733644345	0.210904051970575	1	1	0.094583412023778	0.552451874121155	1	0.1160462775083
AC012531.25	1	0.200646556323165	0.0525053374218426	0.803082012213001	0.00627735326203813	0.0449467843791376	0.764311195748923	1
AC013463.2	1	0.0792122726039526	0.368811166211215	0.191392941633036	1.10663985495133e-11	0.0979867795497103	0.23358613969555	1
AC013733.4	1	1	1	1	0.0746809934818752	0.649488098562947	1	0.573354107084934
AC016831.7	0.817099823845504	0.371386946966558	0.512063367717876	1	0.806978884297734	1	0.927596393985727	0.510063919513175
AC016999.2	0.46074568610559	0.660657067310692	1	1	0.0270450902069504	0.890552958717472	0.976855310056816	1
AC017002.2	1	0.317156567821431	1	0.630708270250851	0.466333191264693	0.234789032664968	0.221430305338858	1
