"Mixture"	"Neutrophils"	"Fibroblasts"	"Melanoma"	"Macrophage"	"Keratinocytes"	"T_cell"	"Endothelial"
"GSM198875"	"0"	"0.259041297614292"	"0"	"0.0406016155613969"	"0.690550413016895"	"0.0107752665339693"	"0"
"GSM198876"	"0"	"0.213356663340412"	"0.0528580452543355"	"0.0280007075388263"	"0.695017945895751"	"0.0114727470484598"	"0"
"D_C_4"	"0"	"0.203580797708329"	"0.0204818282964153"	"0.0322135693736067"	"0.734530319621008"	"0.0106825063243109"	"0"
"D_C_12"	"0"	"0.24542295640634"	"0.00747511241830604"	"0.0109857388015558"	"0.732413824371515"	"0.00551746055364388"	"0"
"D_C_160"	"0"	"0.259854817604375"	"0.00558066615525906"	"0"	"0.72958886249122"	"0.00530606333091418"	"0"
"D_C_8"	"0"	"0.219660656374695"	"0.0393055504929929"	"0.0531993028073635"	"0.673415567784624"	"0.00310031964772558"	"0.01246075860377"
"D_C_148"	"0"	"0.224220508911688"	"0.0171381628056029"	"0"	"0.744544122608525"	"0.0142543990942337"	"0"
"D_C_65"	"0"	"0.205803298132121"	"0.0395886859018428"	"0.00770946874660019"	"0.733939781140996"	"0.0150241733219326"	"0"
"D_C_15"	"0"	"0.259105615939998"	"0.0215144814903671"	"0.0233366312885952"	"0.687634089417761"	"0.00884972873976963"	"0"
"D_C_194"	"0.00057529667744067"	"0.221243791934405"	"0.0100470376131707"	"0.0171849114640537"	"0.744463212109366"	"0.00648970348115775"	"0"
"D_C_20"	"0"	"0.222705946659549"	"0"	"0.0175025397445657"	"0.748511925661227"	"0.0118167039821237"	"0"
"D_C_172"	"0.00184914882909615"	"0.222565127648066"	"0.0104590751436881"	"0.00656439584210768"	"0.737387997401772"	"0.0211868596661767"	"0"
"D_C_163"	"0"	"0.322395124440846"	"0"	"0.02307575597602"	"0.654529119583134"	"0.000176254372177401"	"0"
"D_C_154"	"0"	"0.270792312784904"	"0.00541144552426027"	"0.0110184958271517"	"0.712777745863684"	"0.00158368026637119"	"0"
"D_C_58"	"0.000199870924761135"	"0.232200478303281"	"0.0221325654686152"	"0.0165897756997454"	"0.726286202330001"	"0.00305889906304441"	"0"
"D_C_150"	"0"	"0.275236075820588"	"0.00904919721519237"	"0"	"0.714148074582285"	"0.00276126412711543"	"0"
"D_C_83"	"0"	"0.254928488715275"	"0"	"0.00537733168797239"	"0.72194650175411"	"0.0185222597747761"	"0"
"D_C_37"	"0"	"0.221703196950364"	"0"	"0.0385684858721393"	"0.732144337485831"	"0.00767108414540089"	"0"
"D_C_63"	"0"	"0.223241750788181"	"6.7478092677654e-05"	"0.0133975559771438"	"0.762773229352911"	"0.000989096554168961"	"0"
"D_C_5"	"0"	"0.250182463539531"	"0"	"0.0212347697058851"	"0.728582766754584"	"0.00121997896780791"	"0"
"D_C_97"	"0"	"0.212996939178325"	"0"	"0.0153580263476991"	"0.766782662389247"	"0.00512840492168265"	"0"
"D_C_193"	"0"	"0.283854849661313"	"0"	"0.00797377325216652"	"0.699484500651433"	"0.00900759684299306"	"0"
"D_C_66"	"0"	"0.235557569478462"	"0.0332498589595913"	"0.0264710395973444"	"0.704721531964602"	"0.000747053715102164"	"0"
"D_C_6"	"0"	"0.237576222053189"	"0"	"0.0337951157967485"	"0.728628662150062"	"0.000217981211802357"	"0"
"D_C_123"	"0"	"0.196304375967239"	"0"	"0.00987120223464666"	"0.789337047084462"	"0.00500109162246405"	"0"
"D_C_59"	"0"	"0.225170696055942"	"0.00497537842737459"	"0.0198125180009237"	"0.746159395139768"	"0.0044838254976036"	"0"
"D_C_14"	"0"	"0.278420329539512"	"0"	"0.0329383195856298"	"0.688641350874858"	"0.00154982186331112"	"0"
"D_C_119"	"0"	"0.203450893357531"	"0.000833262992699877"	"0.0125144480634542"	"0.776657069403487"	"0.00825394900794455"	"0"
"D_C_90"	"0"	"0.287383911031622"	"0.0165164854623338"	"0.00984154416084291"	"0.6759617667867"	"0.0110664413611314"	"0"
"D_C_94"	"0"	"0.236589517239478"	"0.0122847707381574"	"0.0228006679273158"	"0.728325044095049"	"0.000716873043602934"	"0"
"D_C_30"	"0"	"0.25606978354777"	"0"	"0.00608778740649643"	"0.737842429045733"	"0.000111756428716729"	"0"
"D_C_10"	"0"	"0.234070768109219"	"0"	"0.0287681153608383"	"0.719708929956339"	"0.0192260966874746"	"0"
"D_C_69"	"0"	"0.282100087207463"	"0.0316689841057056"	"0"	"0.67910624579986"	"0.00751226064055926"	"0"
