GeneSymbol	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	T_cell	Endothelial
A1BG	NA	134.704321532909	219.65637387096	NA	102.876853636853	NA	0
A1BG.AS1	NA	57.5841485410816	106.915279042641	NA	NA	365.997936460866	NA
A1CF	NA	NA	NA	NA	171.681953601	0	NA
A2M	NA	NA	NA	NA	NA	53923.3221425161	NA
A2M.AS1	74248.8313536638	283.905744862608	NA	0	193.835617513637	NA	NA
A2ML1	203536.140654251	NA	NA	NA	1838.8013950681	NA	0
A2MP1	3671.5068231475	NA	NA	0	102.789431296025	0	NA
A4GALT	NA	NA	NA	1174.96357107044	NA	NA	0
A4GNT	NA	62.3788325215993	251.071386325994	NA	66.4102143250378	NA	1
AA06	NA	212.002313601303	206.50804006161	0	70.0396254492576	NA	NA
AAAS	0	652.750094313706	NA	0	NA	NA	29868.794120142
AACS	NA	NA	NA	NA	4650.01890400312	NA	NA
AACSP1	NA	58.0016552386502	NA	163.901441442723	36.006071561717	NA	NA
AADAC	0	NA	NA	NA	NA	0	NA
AADACL2	NA	5270.12404319236	1	1	4330.10648988657	1	NA
AADACP1	0	90.0478214174703	NA	0	NA	NA	NA
AADAT	NA	NA	NA	NA	NA	0	NA
AAED1	NA	648.951257210046	NA	2797.15010764556	NA	NA	0
AAGAB	1	NA	NA	NA	886.841074338657	NA	1
AAK1	NA	3854.61240762552	NA	NA	NA	0	NA
AAMDC	NA	2460.67939565055	NA	NA	NA	NA	NA
AAMP	NA	NA	NA	2554.28065236521	1124.19225773164	NA	NA
AANAT	NA	26.6353719302471	NA	0	NA	0	NA
AAR2	78123.5604732379	NA	4681.6674204696	NA	1190.03570039304	0	0
AARS	NA	1914.11912276558	NA	NA	1865.16310044744	NA	0
AARS2	1	808.429533361209	1	1	420.138749489992	1	1
AASDH	1	645.250007557766	1	1	615.28319259216	1	NA
AASDHPPT	NA	2214.03956598783	8320.13580324873	0	1980.80582511347	0	0
AASS	NA	NA	NA	NA	NA	NA	0
AATF	376022.172590846	NA	NA	NA	1340.86573929419	NA	0
AATK	NA	1085.95055630535	NA	0	NA	NA	NA
AB488780	NA	NA	NA	NA	482.671513170956	NA	41327.5276241613
ABAT	0	587.65379824807	NA	NA	NA	NA	34385.3765491701
ABCA1	0	NA	NA	NA	NA	NA	0
ABCA11P	NA	NA	NA	0	NA	14134.3362175624	NA
ABCA12	NA	0	NA	NA	2226.3665741319	45794.6222910955	NA
ABCA13	NA	0	NA	2232.05803657007	NA	NA	NA
ABCA17P	NA	NA	190.016505729662	NA	57.3397374856037	0	0
ABCA2	0	614.595089570953	0	NA	NA	0	NA
ABCA3	0	310.484936307832	NA	NA	242.582306145417	NA	NA
ABCA4	NA	273.952333872881	NA	NA	NA	2050.3429044373	0
ABCA5	NA	2519.7074464817	8480.45133306803	13285.1696018279	917.963485103931	NA	NA
ABCA6	NA	587.097053090095	NA	1	502.573466473762	NA	NA
ABCA7	NA	NA	NA	NA	408.508528281948	NA	NA
ABCA8	NA	5207.85189698119	NA	NA	3571.96146730761	NA	0
ABCA9	NA	NA	NA	NA	429.536917226859	NA	NA
ABCB1	NA	NA	NA	702.832556034407	86.3223930490469	0	NA
ABCB10	0	2352.2452738412	NA	NA	NA	NA	NA
ABCB11	NA	NA	NA	NA	NA	0	0
ABCB4	NA	406.109152972528	0	NA	NA	NA	34193.0840913366
ABCB5	0	NA	NA	NA	NA	0	0
ABCB6	NA	483.844903823511	1	1	434.367639167295	1	NA
ABCB7	1	476.281240435488	NA	1	614.320442636829	NA	NA
ABCB8	NA	198.251298730892	NA	1	191.527972571049	1	NA
ABCB9	0	NA	0	0	165.158657339969	NA	NA
